"HHid","HHdemos","HHwgt","file_date","file"
"168","22122",1777.952,"20250301","20250301.tx4"
"21100004","22123",1497.384,"20250301","20250301.tx4"
"21100341","12333",1497.612,"20250301","20250301.tx4"
"21100433","22113",1312.212,"20250301","20250301.tx4"
"21100564","23423",1922.83,"20250301","20250301.tx4"
"21100594","22433",1530.159,"20250301","20250301.tx4"
"21100595","14323",2092.569,"20250301","20250301.tx4"
"21100635","12123",1312.212,"20250301","20250301.tx4"
"21100650","12112",1457.907,"20250301","20250301.tx4"
"21100669","13112",1345.252,"20250301","20250301.tx4"
"21100670","21123",2251.898,"20250301","20250301.tx4"
"21100700","12133",1468.209,"20250301","20250301.tx4"
"21100731","12133",1312.212,"20250301","20250301.tx4"
"21100743","12122",1277.616,"20250301","20250301.tx4"
"21100792","24122",2174.3,"20250301","20250301.tx4"
"21100803","22333",1312.411,"20250301","20250301.tx4"
"21100813","14323",2233.515,"20250301","20250301.tx4"
"21100818","12323",1826.373,"20250301","20250301.tx4"
"21100859","12122",1777.952,"20250301","20250301.tx4"
"21100871","21133",2148.265,"20250301","20250301.tx4"
"21100902","13123",2002.304,"20250301","20250301.tx4"
"21100943","13433",1922.83,"20250301","20250301.tx4"
"21100949","21423",2256.352,"20250301","20250301.tx4"
"21100962","13123",1648.952,"20250301","20250301.tx4"
"21101087","13423",1411.922,"20250301","20250301.tx4"
"21101117","13133",1381.679,"20250301","20250301.tx4"
"21101138","14433",1999.848,"20250301","20250301.tx4"
"21101186","14111",2435.34,"20250301","20250301.tx4"
"21101201","13133",1354.759,"20250301","20250301.tx4"
"21101207","13133",1381.679,"20250301","20250301.tx4"
"21101238","12123",2083.784,"20250301","20250301.tx4"
"21101244","13433",1237.318,"20250301","20250301.tx4"
"21101273","12322",1901.106,"20250301","20250301.tx4"
"21101283","21433",2625.92,"20250301","20250301.tx4"
"21101286","13123",1210.816,"20250301","20250301.tx4"
"21101337","13323",1881.93,"20250301","20250301.tx4"
"21101362","14331",2663.625,"20250301","20250301.tx4"
"21101373","12123",1826.095,"20250301","20250301.tx4"
"21101415","21423",2195.287,"20250301","20250301.tx4"
"21101425","12533",2231.56,"20250301","20250301.tx4"
"21101448","21522",2556.051,"20250301","20250301.tx4"
"21101692","13113",1210.816,"20250301","20250301.tx4"
"21101699","12131",1564.906,"20250301","20250301.tx4"
"21101702","14333",1381.889,"20250301","20250301.tx4"
"21101788","22133",1497.384,"20250301","20250301.tx4"
"21101803","21113",2148.265,"20250301","20250301.tx4"
"21101805","21133",2251.898,"20250301","20250301.tx4"
"21101840","21131",2685.548,"20250301","20250301.tx4"
"21101845","14422",1980.37,"20250301","20250301.tx4"
"21101852","21341",2685.956,"20250301","20250301.tx4"
"21101874","13133",1789.559,"20250301","20250301.tx4"
"21101881","13412",1867.002,"20250301","20250301.tx4"
"21101940","21123",2251.898,"20250301","20250301.tx4"
"21101961","12332",1989.619,"20250301","20250301.tx4"
"21102008","22423",1530.159,"20250301","20250301.tx4"
"21102039","13122",1345.252,"20250301","20250301.tx4"
"21102052","12433",1866.066,"20250301","20250301.tx4"
"21102068","22122",2028.847,"20250301","20250301.tx4"
"21102073","12133",1312.212,"20250301","20250301.tx4"
"21102183","12423",1340.934,"20250301","20250301.tx4"
"21102184","13131",1647.751,"20250301","20250301.tx4"
"21102194","12133",1312.212,"20250301","20250301.tx4"
"21102246","13133",1405.271,"20250301","20250301.tx4"
"21102254","13322",1832.314,"20250301","20250301.tx4"
"21102259","14421",2384.961,"20250301","20250301.tx4"
"21102279","21423",2152.515,"20250301","20250301.tx4"
"21102289","22133",1312.212,"20250301","20250301.tx4"
"21102292","13123",1210.816,"20250301","20250301.tx4"
"21102307","12113",1826.095,"20250301","20250301.tx4"
"21102349","13423",1685.045,"20250301","20250301.tx4"
"21102391","21112",2149.809,"20250301","20250301.tx4"
"21102591","21443",2301.188,"20250301","20250301.tx4"
"21102624","13522",1719.334,"20250301","20250301.tx4"
"21102626","13123",1381.679,"20250301","20250301.tx4"
"21102700","12312",1666.007,"20250301","20250301.tx4"
"21102713","13423",1922.83,"20250301","20250301.tx4"
"21102780","13333",1211,"20250301","20250301.tx4"
"21102788","13521",1546.386,"20250301","20250301.tx4"
"21102791","12312",1901.106,"20250301","20250301.tx4"
"21102834","21413",2625.92,"20250301","20250301.tx4"
"21102838","14343",1957.31,"20250301","20250301.tx4"
"21102854","21433",2456.266,"20250301","20250301.tx4"
"21103013","13333",1294.685,"20250301","20250301.tx4"
"21103029","23122",1605.479,"20250301","20250301.tx4"
"21103067","21123",2106.409,"20250301","20250301.tx4"
"21103143","12132",1277.616,"20250301","20250301.tx4"
"21103160","22133",1312.212,"20250301","20250301.tx4"
"21103209","13523",1296.683,"20250301","20250301.tx4"
"21103215","12121",2485.061,"20250301","20250301.tx4"
"21103270","13133",1881.644,"20250301","20250301.tx4"
"21103351","12433",2129.395,"20250301","20250301.tx4"
"21103354","21423",2505.075,"20250301","20250301.tx4"
"21103359","22123",1497.384,"20250301","20250301.tx4"
"21103372","23122",1605.479,"20250301","20250301.tx4"
"21201302","12423",1866.066,"20250301","20250301.tx4"
"21201381","12343",1403.105,"20250301","20250301.tx4"
"21201486","14322",1905.707,"20250301","20250301.tx4"
"21201894","12413",2129.395,"20250301","20250301.tx4"
"21201930","13323",1617.07,"20250301","20250301.tx4"
"21201932","21123",2208.022,"20250301","20250301.tx4"
"21202025","12423",1829.707,"20250301","20250301.tx4"
"21202118","21431",2744.33,"20250301","20250301.tx4"
"21202127","21112",2386.787,"20250301","20250301.tx4"
