HHid,days_registered
21100004,31
21100433,31
21100497,31
21100564,31
21100594,31
21100628,31
21100635,31
21100669,31
21100700,31
21100743,31
21100792,31
21100803,31
21100813,31
21100818,31
21100859,31
21100902,31
21100949,31
21101117,31
21101201,31
21101238,31
21101244,31
21101286,31
21101337,31
21101362,31
21101373,31
21101425,31
21101699,31
21101702,31
21101788,31
21101840,31
21101852,31
21101874,31
21101940,31
21102008,31
21102052,31
21102068,31
21102073,31
21102183,31
21102254,31
21102259,31
21102289,31
21102292,31
21102302,31
21102349,31
21102391,31
21102624,31
21102626,31
21102780,31
21102838,31
21102854,31
21103013,31
21103029,31
21103067,31
21103215,31
21103270,31
21103354,31
21201302,31
21201381,31
21201486,31
21201894,31
21201930,31
21202118,31
21202127,31
21202450,31
21202478,31
21202561,31
21202661,31
21202671,31
21202982,31
21202984,31
21202985,31
21203301,31
21203312,31
22103576,31
22103588,31
22103646,31
22103761,31
22103767,31
22103934,31
22103980,31
22104006,31
22104017,31
22104174,31
22104187,31
22104262,31
22104282,31
22104290,31
22104313,31
22104473,31
22104612,31
22104652,31
22104694,31
22104755,31
22104778,31
22104779,31
22105141,31
22105143,31
22105151,31
22105251,31
22105301,31
22105304,31
22105403,31
22105420,31
22105424,31
22105444,31
22105507,31
22105834,31
22105848,31
22106031,31
22106043,31
22106048,31
22106147,31
22106177,31
22106304,31
22106379,31
22106415,31
22106429,31
22106489,31
22106527,31
22106532,31
22106537,31
22106564,31
22106705,31
22106712,31
22106715,31
22106838,31
22106887,31
22106889,31
22106903,31
22106906,31
22107006,31
22107084,31
22107091,31
22107096,31
22107099,31
22107176,31
22107206,31
22107328,31
22107367,31
22107376,31
22107454,31
22107483,31
22107619,31
22107629,31
22107652,31
22107798,31
22108099,31
22108101,31
22108105,31
22108121,31
22108138,31
22108222,31
22108311,31
22108317,31
22108337,31
22108363,31
22108699,31
22108728,31
22108730,31
22108950,31
22108977,31
22108986,31
22109038,31
22109039,31
22109046,31
22109105,31
22109109,31
22109256,31
22109272,31
22109337,31
22109354,31
22109441,31
22109503,31
22109638,31
22109822,31
22109830,31
22109973,31
22110102,31
22110153,31
22110154,31
22110194,31
22110199,31
22110221,31
22110227,31
22110230,31
22110255,31
22110273,31
22110284,31
22110302,31
22110376,31
22110447,31
22110689,31
22110803,31
22110851,31
22110852,31
22110857,31
22110867,31
22110988,31
22111054,31
22111149,31
22111207,31
